#                                                    -*- mode:sh -*-
# stloc.xy
#
# station location data by cartesian format.
# lines starting from '#' and blank lines are omitted.
#
# zsw: controls station depth
#      'dep': use the depth
#      'fsb': locate one-grid below from the free surface/sea surface
#      'obb': locate one-grid below from the ground surface/seafloor
#      'oba': locate one-grid above from the ground surface/seafloor
#      'bd{i}' (i=0,...,9) i-th boundary interface
#
# ---
#      x     y     z       stnm   zsw
# --------------------------------------
 0.1567  0.0076  -0.0010   st00     fsb
 0.2206  0.0055  -0.0010   st01     fsb
 0.2899  0.0082  -0.0010   st02     fsb
 0.3702 -0.0023  -0.0010   st03     fsb
 0.4378 -0.0076  -0.0010   st04     fsb
 0.5033 -0.0050  -0.0010   st05     fsb
 0.5922 -0.0036  -0.0010   st06     fsb
 0.6604 -0.0058  -0.0010   st07     fsb
 0.7179 -0.0062  -0.0010   st08     fsb
 0.8088  0.0008  -0.0010   st09     fsb
 0.1002  0.0965  -0.0010   st10     fsb
 0.1483  0.1624  -0.0010   st11     fsb
 0.2131  0.2119  -0.0010   st12     fsb
 0.2590  0.2576  -0.0010   st13     fsb
 0.3098  0.3039  -0.0010   st14     fsb
 0.3527  0.3557  -0.0010   st15     fsb
 0.4041  0.4116  -0.0010   st16     fsb
 0.4639  0.4680  -0.0010   st17     fsb
 0.5163  0.5222  -0.0010   st18     fsb
 0.5755  0.5742  -0.0010   st19     fsb
 0.0093  0.1425  -0.0010   st20     fsb
 0.0081  0.2290  -0.0010   st21     fsb
-0.0006  0.3002  -0.0010   st22     fsb
-0.0078  0.3675  -0.0010   st23     fsb
 0.0060  0.4364  -0.0010   st24     fsb
-0.0014  0.5181  -0.0010   st25     fsb
 0.0030  0.5881  -0.0010   st26     fsb
 0.0083  0.6611  -0.0010   st27     fsb
 0.0044  0.7303  -0.0010   st28     fsb
 0.0049  0.7942  -0.0010   st29     fsb
-0.1108  0.1150  -0.0010   st30     fsb
-0.1637  0.1656  -0.0010   st31     fsb
-0.2011  0.2103  -0.0010   st32     fsb
-0.2693  0.2591  -0.0010   st33     fsb
-0.3185  0.3176  -0.0010   st34     fsb
-0.3562  0.3705  -0.0010   st35     fsb
-0.4157  0.4183  -0.0010   st36     fsb
-0.4601  0.4700  -0.0010   st37     fsb
-0.5132  0.5112  -0.0010   st38     fsb
-0.5756  0.5578  -0.0010   st39     fsb
-0.1564 -0.0037  -0.0010   st40     fsb
-0.2300 -0.0002  -0.0010   st41     fsb
-0.2868  0.0097  -0.0010   st42     fsb
-0.3594  0.0071  -0.0010   st43     fsb
-0.4487 -0.0017  -0.0010   st44     fsb
-0.5088  0.0071  -0.0010   st45     fsb
-0.5852 -0.0041  -0.0010   st46     fsb
-0.6637  0.0015  -0.0010   st47     fsb
-0.7365 -0.0042  -0.0010   st48     fsb
-0.8098  0.0025  -0.0010   st49     fsb
-0.1063 -0.1009  -0.0010   st50     fsb
-0.1618 -0.1623  -0.0010   st51     fsb
-0.2042 -0.2169  -0.0010   st52     fsb
-0.2634 -0.2577  -0.0010   st53     fsb
-0.3004 -0.3138  -0.0010   st54     fsb
-0.3667 -0.3577  -0.0010   st55     fsb
-0.4090 -0.4038  -0.0010   st56     fsb
-0.4554 -0.4537  -0.0010   st57     fsb
-0.5118 -0.5229  -0.0010   st58     fsb
-0.5645 -0.5673  -0.0010   st59     fsb
-0.0095 -0.1457  -0.0010   st60     fsb
-0.0060 -0.2172  -0.0010   st61     fsb
 0.0004 -0.2895  -0.0010   st62     fsb
 0.0060 -0.3763  -0.0010   st63     fsb
 0.0077 -0.4343  -0.0010   st64     fsb
-0.0023 -0.5085  -0.0010   st65     fsb
 0.0087 -0.5818  -0.0010   st66     fsb
 0.0099 -0.6591  -0.0010   st67     fsb
-0.0084 -0.7307  -0.0010   st68     fsb
 0.0079 -0.7901  -0.0010   st69     fsb
 0.1111 -0.1065  -0.0010   st70     fsb
 0.1586 -0.1503  -0.0010   st71     fsb
 0.1995 -0.2099  -0.0010   st72     fsb
 0.2566 -0.2670  -0.0010   st73     fsb
 0.3162 -0.3186  -0.0010   st74     fsb
 0.3599 -0.3661  -0.0010   st75     fsb
 0.4190 -0.4209  -0.0010   st76     fsb
 0.4547 -0.4547  -0.0010   st77     fsb
 0.5051 -0.5214  -0.0010   st78     fsb
 0.5611 -0.5691  -0.0010   st79     fsb
